x,y,z,x_rotation,y_rotation,z_rotation,row,size,material,color,legend1_text,legend1_font_family,legend1_font_size,legend1_font_bold,legend1_font_italic,legend1_font_color,legend1_offset_x,legend1_offset_y,legend1_align,legend1_rotation,legend2_text,legend2_font_family,legend2_font_size,legend2_font_bold,legend2_font_italic,legend2_font_color,legend2_offset_x,legend2_offset_y,legend2_align,legend2_rotation,legend3_text,legend3_font_family,legend3_font_size,legend3_font_bold,legend3_font_italic,legend3_font_color,legend3_offset_x,legend3_offset_y,legend3_align,legend3_rotation,legend4_text,legend4_font_family,legend4_font_size,legend4_font_bold,legend4_font_italic,legend4_font_color,legend4_offset_x,legend4_offset_y,legend4_align,legend4_rotation
-90,0,-55.25,0,0,0,R2,1u,resin,black,E,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
90,0,-55.25,0,0,0,R2,1u,resin,black,I,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
-108,0,-51,0,0,0,R2,1u,resin,black,W,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
-72,0,-51,0,0,0,R2,1u,resin,black,R,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
-54,0,-51,0,0,0,R2,1u,resin,black,T,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
54,0,-51,0,0,0,R2,1u,resin,black,Y,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
72,0,-51,0,0,0,R2,1u,resin,black,U,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
108,0,-51,0,0,0,R2,1u,resin,black,O,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
-126,0,-38.25,0,0,0,R2,1u,resin,black,Q,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
-90,0,-38.25,0,0,0,R3,1u,resin,purple,D,Trebuchet MS,5,FALSE,FALSE,white,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0,,,null,FALSE,FALSE,,0,0,Center,0
