Category,Part,Quantity,Unit Cost,Total Cost,Note,LCSC,Source,Link,Description
Electronic,Holyiot 18010,1,$9.11,$9.11,,,Mouser,https://mou.sr/4pa7teo,
Electronic,Matrix PCB,1,$5.13,$5.13,pair,,JLCPCB,,
Electronic,Control PCB,1,$5.45,$5.45,pair,,JLCPCB,,
Electronic,VIK magnetic connector PCB,2,$1.97,$3.94,,,JLCPCB,,
Electronic,VIK PMW3610-narrow module PCB,2,$0.63,$1.26,,,JLCPCB,,
Electronic,VIK nice!nano adapter PCB,1,$0.66,$0.66,,,JLCPCB,,
Electronic,12-pin FPC cables,7,,$0.00,,,Mouser,,
Electronic,PMW-3610DM-SUDU,2,$5.90,$11.80,,,AliExpress,https://www.aliexpress.us/item/3256806932453023.html?src=bing&exp_tag=pcgcp&aff_fcid=2e2b09b2fbd644efa4f15eb08e97d466-1783655451549-02471-UneMJZVf&aff_fsk=UneMJZVf&aff_platform=aaf&sk=UneMJZVf&aff_trace_key=2e2b09b2fbd644efa4f15eb08e97d466-1783655451549-02471-UneMJZVf&terminal_id=51ff4bafdbf245a3a42b20c98072a89b&afSmartRedirect=n&gatewayAdapt=glo2usa,
Electronic,12-pin magnetic pogo pin connector,1,$3.52,$3.52,pair,,AliBaba,https://www.alibaba.com/product-detail/Fool-proof-Customizable-2-12-Pin_1601813292668.html?spm=a2700.prosearch.normal_offer.d_title.1f2c67afwcYWSw&priceId=185196b435f84a70a6c39f6d9e3bd171,
Electronic,Diodes,44,,$0.00,,,Mouser,,
Electronic,Kailh Choc or Gateron KS-33 Switches,44,$0.39,$17.16,,,Amazon,https://a.co/d/02MneUm9,
Electronic,LED,1,,$0.00,,,Mouser,,
Electronic,Hot-swap sockets,44,$0.14,$6.16,,,Amazon,https://a.co/d/0cJAZBIr,
Electronic,Battery 401230,1,$7.99,$7.99,,,Amazon,https://a.co/d/0cnfUvY7,
Tactile,35 mm Trackball,1,$11.99,$11.99,,,Amazon,https://a.co/d/06izoJGP,
Tactile,Keycap set,1,$116.00,$116.00,,,3dKeycap,https://3dkeycap.com/products/mx-chicago-steno-keycap-set?variant=46916802117890,
Mechanical,Case,1,$41.41,$41.41,pair,,CraftCloud,,
Mechanical,Bottom Plates,2,,$0.00,,,CraftCloud,,
Mechanical,Hinge,2,$6.69,$13.38,,,CraftCloud,,
Mechanical,Veichu VCN310 BTU,4,$1.21,$4.84,,,AliBaba,https://www.alibaba.com/product-detail/VEICHU-VCN310-311-New-Stainless-Steel_1601020185379.html?spm=a2756.trade-carp.valid-supplier.2.27443192rIAFQj,
Mechanical,M2 screws,28,,$0.00,,,,,
Mechanical,Switch Plates,2,,$0.00,,,,,
Electronic,nice!view,1,$20.00,$20.00,,,Typeractive,https://typeractive.xyz/products/nice-view,
,,,,$279.80,,,,,
